textDisplay|classification_textblob
['emocionar', 'comentario', 'demostrar', 'tanto', 'vulnerabilidad', 'mucho', 'gracia', 'campeonesa']|1
['unico', 'gusto', 'juego', 'persona', 'creador', 'juego', 'ocurrio', 'absurdo', 'idea', 'hacer', 'protagonista', 'trans']|1
['compre', 'celeste', 'switch', 'ayudo', 'momento', 'tenia', 'sensacion', 'ansia', 'depresion', 'etc', 'tomo', 'dos', 'dia', 'enojo', 'fase', 'juego', 'tercer', 'dia', 'mas', 'relajado', 'pasar', 'si', 'senti', 'tanto', 'bien', 'empecir', 'jugar él', 'mas', 'relajdo', 'ahora', 'compre', 'pc']|1
['jugue', 'completir', 'historia', 'principal', 'celestar', 'ayudo', 'problema', 'jugue', 'farewell', 'problema', 'volver']|1
['dar', 'ansiedad', 'q']|1
['celestir', 'llego', 'momento', 'mas', 'necesite', 'hoy', 'juegos', 'favorito', 'eh', 'terminado', '5', 'vez', '100', 'nunca', 'aburriria', 'jugar', 'juego', 'tanto', 'hermoso', 'bueno', 'regresar', 'jugar él', 'vez']|1
['celeste', 'salvar']|1
['celestir', 'tanto', 'muestra', 'videojuego', 'puro', 'arte']|1
['juego', 'ayudo', 'entender', 'cosa', 'últimamente', 'suceder', 'cosa', 'sabio', 'explicarmar', 'gracia', 'juego', 'sentir', 'único', 'poder', 'entender yo', 'mejor', 'mismo', 'mucho', 'gracias', 'hacer', 'gran', 'vídeo', 'psi', 'gaming', 'gracias', 'bra', 'hrefhttpswwwyoutubecomwatchvelyujajtiesampt5m17s517a', 'echo', 'pregunta', 'mucho', 'vez', 'abrumo', 'siempre', 'tratar', 'relajarme', 'aunque', 'siempre', 'así']|1
['buen', 'análisis', 'punto', 'visto', 'psicológico', 'esperar', 'industria', 'creer', 'juego', 'así', 'ayudar', 'salud', 'mental', 'problema', 'personal']|1
['jajajajajaj', 'preguntenle', 'farewell', 'xd']|1
['duda', 'video', 'bastante', 'completo', 'dejar', 'palabra', 'desentrañar', 'enseñanza', 'transmitir', 'celeste', 'facil', 'digerir', 'ir', 'punto', 'palabrasbrpd', 'alguno', 'día', 'video', 'mención', 'juegos', 'persona', '4', '5', 'creer', 'poder', 'dar', 'pie', 'video', 'extenso', 'duda', 'podrás', 'desarrollar él', 'crez', 'exito', 'video', 'haga', 'lt3']|1
['joder', 'lamentablemente', 'empezar', 'crisis', 'ansiedad', 'ataque', 'pánico', 'recientemente', 'sentir', 'totalmente', 'identificado', 'comentastir', 'si', 'duro', 'sient', 'peligro', 'menos', 'espera', 'alertar', 'ataque', 'sient', 'miedo', 'quieres', 'uir', 'caso', 'soporte', 'amigo', 'recomendar', 'apenas', 'video', 'quebre', 'totalmente', 'ver él', 'hacer', 'reflexionar', 'mucho', 'cosa', 'instante', 'seguir', 'luchar', 'batalla', 'duro']|1
['gustar', 'frase', 'guardar', 'hrefhttpswwwyoutubecomwatchvelyujajtiesampt5m30s530a']|1
['sonar', 'interesar', 'hiciste', 'descripción', 'tanto', 'espectacular', 'videojuego', 'sentir', 'identificado', 'muchísimos', 'punto', 'excelente', 'trabajo', 'd']|1
[]|1
['q', 'hermoso', 'juego', 'momento', 'encantar', 'desafiante', 'q', 'resulto', 'hoy', 'x', 'terminar', 'nuevamente', 'juego', 'x', 'desafiante', 'si', 'xq', 'hacer', 'sentir', 'comprendido', 'etapa', 'vida', 'q', 'intentar', 'atravesar', 'juego', 'maravilloso']|1
['poder', 'hacer', 'video', 'juego', 'ib', 'porfa']|1
