textDisplay,videojuego,moderationStatus,sentimiento
cómo q 9 3 yo le pondría infinito 10 esto es una obra maestra a href https www youtube com watch v zf2rd1t5bk amp t 10m49s 10 49 a,Marvel's Spider-Man 2,,
miles morales 2,Marvel's Spider-Man 2,,
un juego con mejores mecánicas ciudad habilidades etc pero siento que a pesar de tener a misterio venom lizard etc no llega a la altura del primero me encantó harry osborn lo adoró este si se me hizo amigo de verdad de peter y no como en las pelis o series la historia hasta la muerte de kraven perfecta pero la parte de venom se veia muy forzada y sin apenas desarrollo aparte de corta,Marvel's Spider-Man 2,,
no está el audio en español si en el uno si ke estaba,Marvel's Spider-Man 2,,
un juego buenísimo par los incondicionales del trepamuros,Marvel's Spider-Man 2,,
ya lo temeiné y es un juegazo completamente,Marvel's Spider-Man 2,,
spiderman 2,Marvel's Spider-Man 2,,
faltan los 30 detalles,Marvel's Spider-Man 2,,
es lo mismo de siempre pero con nueva historia una mecánica nueva y con lenguaje inclusivo y con black cat bi,Marvel's Spider-Man 2,,
vaya la noticia es que miles morales será el spiderman del futuro un n e g ro como protagonista q raro si al final disney todos serán de color,Marvel's Spider-Man 2,,
quería preguntar el modo de dificultad mas bajo como es veréis es para una persona con problemas de salud que no puede jugar una dificultad estandar sería una gran ilusión que pudiera balancearse con spiderman,Marvel's Spider-Man 2,,
porque solo muy poca gente nombra algo muy importante a destacar y que no se nombra br br tiene lenguaje inclusivo br br me encantó el 1 y el de miles pero este no lo compro ni de coña,Marvel's Spider-Man 2,,
ya no hacen los 30 detalles alucinantes,Marvel's Spider-Man 2,,
este videos le doy 5 ostias y un cardenal,Marvel's Spider-Man 2,,
no se porque a muchos les molesta que miles haya sido el mvp del juego esta siguiendo los pasos de su mentor y tiene mas potencial que el,Marvel's Spider-Man 2,,
no mas misiones con mary jane gracias,Marvel's Spider-Man 2,,
ojalá spider man 3 no tenga basura woke,Marvel's Spider-Man 2,,
a href https www youtube com watch v zf2rd1t5bk amp t 9m54s 9 54 a parece que a los medios les indicaron que mencionaras que este juego era quot el mejor juego de superheroes quot es demasiada coincidencia que muchos medios mencionen esta frase en sus reseñas,Marvel's Spider-Man 2,,
este juego es una verdadera carta de amor para los fans de los superhéroes,Marvel's Spider-Man 2,,
reslizar combos magicos con un botón,Marvel's Spider-Man 2,,
o la la,Marvel's Spider-Man 2,,
pobre spiderman sony esta arruinando al personaje,Marvel's Spider-Man 2,,
grandes blanqueando los juegos de mierda x dinero,Marvel's Spider-Man 2,,
me encante el juegue,Marvel's Spider-Man 2,,
después de ver el ultimo video de squadron 42 me da la sensación que spiderman 2 tiene unos gráficos cutres y obsoletos br y a esto le llaman nueva generación jejeje,Marvel's Spider-Man 2,,
señore es un juegazo si el primero te gustó este te va mmar,Marvel's Spider-Man 2,,
a href https www youtube com watch v zf2rd1t5bk amp t 6m39s 6 39 a no podías haber grabado un gameplay donde no sólo spamearas un solo ataque o acaso así es el combate,Marvel's Spider-Man 2,,
tiene lenguaje inclusivo en español genial entonces no pienso comprarlo por bueno que digan que es,Marvel's Spider-Man 2,,
merece la pena si quieres ver una gran cantidad de bugs,Marvel's Spider-Man 2,,
soy usuario de nintendo y xbox pero soy también fan de spiderman desde pequeño jugue el 1 en pc aunque lo de meterle lengueje inclusivo manda pelotas ridículo a mas no poder aun asi disfrutadlo mucho ya era hora de que metieran a venom,Marvel's Spider-Man 2,,
dicen que el juego no tiene para jugar nueva partida y tiene muchos bugs,Marvel's Spider-Man 2,,
flojete,Marvel's Spider-Man 2,,
esto no vale 80 lo siento como mucho 50,Marvel's Spider-Man 2,,
por juegos asi es que play station esta donde esta,Marvel's Spider-Man 2,,
vaya juégazo insomniac se ha sacado el rabo otra vez increíble,Marvel's Spider-Man 2,,
pregunta se puede cambiar el traje negro al rojo como en spiderman web of shadow o si o si tenes que entrar a trajes y cambiarlo manualmente,Marvel's Spider-Man 2,,
spiderbug2 br el inclusive dlc pelijuego de 7 horas q corre a 40 fps para todos aquellos q exigen jugar solo nextgen a 80 napos,Marvel's Spider-Man 2,,
no merece la pena muchos bugs xd tenido que reiniciar en una partida varios puntos para poder avanzar basura de juego,Marvel's Spider-Man 2,,
sí que merece la pena lo malo es que insomniac tiene una fea costumbre os la diré y veréis como en todos sus juegos pasa lo mismo br buenos gráficos buena jugabilidad pero para jugar toma cómete este tutorial esta cinemática esta misión que tienes que hacer sí o sí dos veces y cuando acabes de postre tienes dos misiones repetitivas que duran más de lo que deberían,Marvel's Spider-Man 2,,
cuándo váis a hacer el vídeo quot 30 bugs divertidos de spiderman 2 segundo dlc quot los bugs que tiene os da para una serie completa pero un vídeo creo que es suficiente,Marvel's Spider-Man 2,,
cuando vais a hacer los 30 detalles del nuevo spiderman br tengo muchas ganas,Marvel's Spider-Man 2,,
sería excelente si no lo hubieran contaminado con su nefasta propaganda progresista,Marvel's Spider-Man 2,,
podria salir en ps4,Marvel's Spider-Man 2,,
una pregunta si compro la version deluxe en una cuenta y juego al spiderman en otra podre usar lo que le da la version deluxe en otra cuenta,Marvel's Spider-Man 2,,
hoy día hacen los juegos para tontos que pintan todas esas grúas en la bahía de manthatan recuerdo lo difícil que era llegar en el 2 de ps2 a la estatua de la libertad y hoy día te lo dan todo mascado,Marvel's Spider-Man 2,,
muy superior el mundo abierto de spiderman a la porquería de starfield 1000 planetas sobrios mehhh más de lo mismo xd,Marvel's Spider-Man 2,,
que mal que tenga el lenguaje exclusivo pero nada que hacerle voy a tener que jugarlo,Marvel's Spider-Man 2,,
esparare un par de meses a que baje a mitad de precio,Marvel's Spider-Man 2,,
insomniac va a inaugurar el universo de marvel videojueguil con spiderman wolverine ya veremos que hay en el futuro,Marvel's Spider-Man 2,,
excelente analisis pongame 2 juegos para llevar mi buen hombre,Marvel's Spider-Man 2,,
el calvo esta echando espuma por la boca jajajajaja,Marvel's Spider-Man 2,,
nocedicepizzataguercedicepizzatower,Marvel's Spider-Man 2,,
los bugs están divertidísimos pero hubieran retrasado el lanzamiento para pulir esos detalles una lástima,Marvel's Spider-Man 2,,
nota merecida,Marvel's Spider-Man 2,,
playstation 6 la videoconsola sale en el año 2028 ir ahorrando dinero,Marvel's Spider-Man 2,,
no me mola muy plasticada,Marvel's Spider-Man 2,,
la moda absurda de hoy en día que cada vez que se dice sale sida de decir spaiderman en lugar de spiderman,Marvel's Spider-Man 2,,
más de lo mismo aquel que no va al día con el mundo de los videojuegos podría confundir este título con el primero por momentos y ya estoy viendo a los niños ratas con poco pensamiento crítico no zabez nada de bidejuegozz no niñato jamás dije que fuera malo lo voy a jugar y seguramente lo voy a disfrutar pero eso no le quita lo que ya dije es más de lo mismo,Marvel's Spider-Man 2,,
tremendo pelijuego,Marvel's Spider-Man 2,,
como carajo tiene menos nota que mario wonder,Marvel's Spider-Man 2,,
insomniac está que se sale aprende ubisoft,Marvel's Spider-Man 2,,
hola,Marvel's Spider-Man 2,,
los sonyers fumándose las ideas de una feminista progre enhorabuena por jugar a tal mierda inclusiva yo disfrutaré del mario wonder sin ideas políticas de pedos,Marvel's Spider-Man 2,,
yo espero que el sentido arácnido respeten que cuando te toque enfrentarte a venon que peter parker no detecte a venon mientras que miles molares sí ya que recordemos que peter parker al tener el primero el simbionte el simbionte aprende a anular el sentido arácnido de peter al menos en los comics y dibujos animados de spiderman,Marvel's Spider-Man 2,,
juego para gays,Marvel's Spider-Man 2,,
que lastima lo del sigilo yo esperaba que la mejoren al estilo arkham es el punto flojo de la jugabilidad,Marvel's Spider-Man 2,,
harry es venom y alfinal no matais a golpes entre peter y miles pero es una cinematica de 5 minutos para pedirte que pulse alfinal l2 y cuadrado y tu tienes el poder del antivenom igual que venom pero en blanco vamos,Marvel's Spider-Man 2,,
todo bien le periodistes,Marvel's Spider-Man 2,,
y el hombre de pero,Marvel's Spider-Man 2,,
cuando se podrá canjear el código del juego que viene en la consola no deja,Marvel's Spider-Man 2,,
cuando se podrá canjear el código del juego que viene en la consola no deja,Marvel's Spider-Man 2,,
quot el mejore videojuege de súpere héroes quot br br es una mierda el juego,Marvel's Spider-Man 2,,
cómo es que tú ya lo puedes jugar,Marvel's Spider-Man 2,,
b 15 horas jajajajaja b,Marvel's Spider-Man 2,,
a href https www youtube com watch v zf2rd1t5bk amp t 10m44s 10 44 a,Marvel's Spider-Man 2,,
el que juega es manquisimo como es eso posible,Marvel's Spider-Man 2,,
si merece la pena es el mejor juego del año su historia es brutal el zelda si q tiene un rival muy duro porq ambos son buenos pero spiderman me gusta más,Marvel's Spider-Man 2,,
el viernes me lanzo a la tienda por spiderman 2,Marvel's Spider-Man 2,,
me gusto la parte donde señala a le doctore xd,Marvel's Spider-Man 2,,
rayos sinceramente pensé que en duración iba a ser lo doble del primer juego no de 17 a 25 horas,Marvel's Spider-Man 2,,
amigo llevaba años esperando algún youtuber nuevo que haga los videos con la calidad y dedicación que le pones 10 10 amigo,Marvel's Spider-Man 2,,
no entiendo como a la gente le puede gustar spiderman el juego literlamente dmc devil may cry 3 le gana y eso que salio hace bastante tiempo los juegos de spiderman son una pija,Marvel's Spider-Man 2,,
es lo rico de tener una ps5 y una pc se disfruta de todo sin quejarse,Marvel's Spider-Man 2,,
que lo saquen para pc,Marvel's Spider-Man 2,,
hay más enemigos aparte de los enemigos de kraven porque noto que estamos chetaisimos,Marvel's Spider-Man 2,,
toda la prensa comprada,Marvel's Spider-Man 2,,
a href https www youtube com watch v zf2rd1t5bk amp t 3m39s 3 39 a genial volvio el perk de quot veneno residual quot si añadieron quot sensores de amenaza quot quot malla de inducción quot y quot impulso de venom quot entonces voy a estar demasiado roto usando a miles morales,Marvel's Spider-Man 2,,
basura de juego play station esta muerta y ustedes lo sabeis,Marvel's Spider-Man 2,,
habeis dicho lo de que es el mejor juego de superheroes de la historia br la premisa de sony era la misma para videos y prensa escrita br br animo que vienen las vacas flacas,Marvel's Spider-Man 2,,
juegazo,Marvel's Spider-Man 2,,
esta grabado en nivel facil no lo digo por el combate con el lagarto que se ve demasiado easy,Marvel's Spider-Man 2,,
bueno siendo coherente con el 5 8 de starfield este es un 2 2,Marvel's Spider-Man 2,,
entonces ya a salido,Marvel's Spider-Man 2,,
hack amp slash generico simplon corto y woke hasta el vomito br todo lo que puede dar sony hasta dentro de dos años br calamidad total,Marvel's Spider-Man 2,,
batallas brillantes vs jefes br se carga al lagarto solo con combos xd,Marvel's Spider-Man 2,,
se ve tan hermoso como el primer juego el miles morales nunca sucedió y no me gusta que haya tantos iconos en pantalla sin importar el juego que sea,Marvel's Spider-Man 2,,
menudo truñazo el juego este xd,Marvel's Spider-Man 2,,
pe pe pero mil planetas y y pantallas de carga,Marvel's Spider-Man 2,,
la verdadera carta de amor a los superheroes,Marvel's Spider-Man 2,,
nmms vandal todavía no sale y ya estás haciendo vtalv,Marvel's Spider-Man 2,,
al fin un combatiente digno para pelear para el goty contra zelda god,Marvel's Spider-Man 2,,
en definitiva goty 2023,Marvel's Spider-Man 2,,
